Country Name,Payout,Impressions,Ad Server Requests,Ad Server Fill Rate,Ecpm Payout,Clicks,Ctr
Tunisia,0.05179650999899998,2041,22400,17.857142857142858,0.025378005878980883,0,0.0
Hungary,0.05172275723,1276,246200,1.1372867587327375,0.04053507619905956,2,0.1567398119122257
Guatemala,0.048732091437999996,1286,9600,8.333333333333332,0.03789431682581648,1,0.07776049766718507
Serbia,0.04742713723400001,2004,67600,4.437869822485207,0.023666236144710584,0,0.0
Croatia,0.044268352885,555,90600,1.545253863134658,0.079762797990991,0,0.0
Bolivia,0.04201311352900001,176,6400,0.0,0.2387108723238637,1,0.5681818181818182
Ecuador,0.038935106887,915,35000,2.857142857142857,0.04255202938469945,0,0.0
Algeria,0.03739299999999996,1918,56200,3.202846975088968,0.019495828988529695,3,0.15641293013555788
Liechtenstein,0.035582704598,88,600,33.33333333333333,0.4043489158863637,0,0.0
Dominican Republic,0.029926404570000002,486,7800,33.33333333333333,0.06157696413580248,0,0.0
Paraguay,0.0293555,392,14600,2.73972602739726,0.07488647959183672,0,0.0
Costa Rica,0.029189500500000003,443,16400,3.6585365853658534,0.0658905203160271,0,0.0
Luxembourg,0.024439645197999998,458,7400,21.62162162162162,0.053361670737991265,1,0.21834061135371177
Slovenia,0.023324819798,1026,13800,11.594202898550725,0.02273374249317739,1,0.09746588693957114
"Tanzania, United Republic of",0.02177399999999999,171,0,0.0,0.12733333333333327,0,0.0
Georgia,0.020476358,169,1200,0.0,0.12116188165680473,0,0.0
El Salvador,0.020396999,222,5200,3.8461538461538463,0.09187837387387386,0,0.0
Uruguay,0.018341498,459,8400,4.761904761904762,0.03995969063180828,0,0.0
Senegal,0.017785587999,245,1200,16.666666666666664,0.07259423673061224,0,0.0
Bangladesh,0.017516139,293,3600,0.0,0.059782044368600684,0,0.0
Bahrain,0.01600365,158,2000,10.0,0.10128892405063292,0,0.0
Estonia,0.015549076666,107,17600,1.1363636363636365,0.1453184735140187,0,0.0
Kenya,0.015324368086,134,400,0.0,0.11436095586567165,0,0.0
Cyprus,0.014611100500000003,258,2400,0.0,0.05663217248062017,0,0.0
Iceland,0.014123490567000001,279,2200,9.090909090909092,0.050621829989247316,1,0.35842293906810035
Panama,0.013866863110000002,339,8800,6.8181818181818175,0.040905200914454286,0,0.0
China,0.012306648,375,3200,6.25,0.032817728,0,0.0
Nicaragua,0.01024046625,369,4400,18.181818181818183,0.02775194105691057,0,0.0
Cambodia,0.0101465,328,1800,33.33333333333333,0.03093445121951219,0,0.0
Libya,0.009855695,428,7200,8.333333333333332,0.023027324766355137,0,0.0
Kyrgyzstan,0.009821187648000001,127,3600,11.11111111111111,0.07733218620472442,0,0.0
Greece,0.009418999999999999,128,136600,0.0,0.07358593749999999,0,0.0
Myanmar,0.008137998,127,1200,0.0,0.06407872440944883,0,0.0
Venezuela,0.007260999999999999,139,3000,0.0,0.05223741007194244,0,0.0
Bosnia and Herzegovina,0.006862,189,5600,10.714285714285714,0.03630687830687831,0,0.0
Macau,0.006642625,335,8000,10.0,0.01982873134328358,0,0.0
Albania,0.0061574192,95,3800,5.263157894736842,0.06481493894736842,0,0.0
Isle of Man,0.005232868974,24,0,0.0,0.21803620725000003,0,0.0
Bulgaria,0.0050186719,80,8600,0.0,0.06273339874999999,0,0.0
Azerbaijan,0.004717917304,106,1400,0.0,0.04450865381132075,0,0.0
Pakistan,0.00440578,66,600,33.33333333333333,0.06675424242424241,2,3.0303030303030303
Mozambique,0.004165998999999999,45,600,0.0,0.09257775555555554,0,0.0
Montenegro,0.003965914574,122,11200,1.7857142857142856,0.032507496508196725,0,0.0
Cameroon,0.0038810000000000003,37,600,0.0,0.10489189189189191,0,0.0
Honduras,0.003644,91,1000,40.0,0.040043956043956046,0,0.0
Cote D'Ivoire,0.0031977193249999995,67,800,50.0,0.0477271541044776,1,1.4925373134328357
"Moldova, Republic of",0.003019405737,79,3000,0.0,0.038220325784810126,0,0.0
New Caledonia,0.0019560000000000003,82,7600,0.0,0.02385365853658537,0,0.0
"Congo, The Democratic Republic of the",0.0018709999999999998,19,0,0.0,0.09847368421052631,0,0.0
Sri Lanka,0.0018400000000000003,76,200,0.0,0.024210526315789477,0,0.0
Yemen,0.001785,24,400,0.0,0.074375,0,0.0
Burkina Faso,0.0014990000000000001,20,400,0.0,0.07495,0,0.0
Ghana,0.001252,11,200,0.0,0.11381818181818182,0,0.0
Angola,0.0011555599999999997,11,0,0.0,0.10505090909090907,0,0.0
Curaçao,0.00101,6,6600,0.0,0.16833333333333336,0,0.0
Jamaica,0.0008990000000000001,6,0,0.0,0.14983333333333335,0,0.0
Nigeria,0.0007959999999999999,13,0,0.0,0.061230769230769234,0,0.0
Reunion,0.0006315892089999999,4,4200,0.0,0.15789730224999998,0,0.0
Armenia,0.00046199999999999995,6,800,0.0,0.07699999999999999,0,0.0
Lebanon,0.00045700000000000005,15,1000,0.0,0.03046666666666667,0,0.0
Sudan,0.00044100000000000004,10,0,0.0,0.0441,1,10.0
Guinea,0.00038300000000000004,4,0,0.0,0.09575000000000002,0,0.0
Benin,0.000361,5,1200,0.0,0.07219999999999999,0,0.0
Mali,0.00036,15,200,0.0,0.024,0,0.0
Trinidad and Tobago,0.00032399999999999996,7,0,0.0,0.04628571428571428,0,0.0
Gabon,0.00028900000000000003,7,400,0.0,0.041285714285714294,0,0.0
Togo,0.000264,3,0,0.0,0.08800000000000001,0,0.0
Nepal,0.000239,6,200,0.0,0.03983333333333334,0,0.0
Faroe Islands,0.000192,2,1600,0.0,0.096,0,0.0
French Guiana,0.000192,2,0,0.0,0.096,0,0.0
Djibouti,0.000145,1,0,0.0,0.145,0,0.0
"Virgin Islands, U.S.",0.00012,5,200,0.0,0.024,0,0.0
Monaco,0.00011999999999999999,2,0,0.0,0.06,0,0.0
Burundi,0.000101,2,0,0.0,0.0505,0,0.0
Bahamas,9.6e-05,1,0,0.0,0.096,0,0.0
French Polynesia,9.6e-05,1,400,0.0,0.096,0,0.0
Greenland,9.6e-05,1,200,0.0,0.096,0,0.0
Guadeloupe,9.6e-05,1,2400,0.0,0.096,0,0.0
Guam,9.6e-05,1,2000,0.0,0.096,0,0.0
Haiti,9.6e-05,1,400,0.0,0.096,0,0.0
Maldives,9.6e-05,1,600,0.0,0.096,0,0.0
Malta,9.6e-05,1,9800,0.0,0.096,0,0.0
Martinique,9.6e-05,1,2000,0.0,0.096,0,0.0
Somalia,9.495899999999998e-05,5,0,0.0,0.018991799999999996,0,0.0
KOS,8.8e-05,1,0,0.0,0.088,0,0.0
Mauritania,7.999999999999999e-05,3,0,0.0,0.026666666666666665,0,0.0
Congo,5.6e-05,1,0,0.0,0.056,0,0.0
Mauritius,5.3e-05,2,800,0.0,0.0265,0,0.0
Tajikistan,5.2e-05,2,200,0.0,0.026,0,0.0
Madagascar,3.5999999999999994e-05,2,0,0.0,0.018,0,0.0
Macedonia,2.4e-05,1,400,0.0,0.024,0,0.0
N/A,0.0,0,1600,0.0,0.0,0,0.0
Andorra,0.0,0,200,0.0,0.0,0,0.0
Antigua and Barbuda,0.0,0,200,0.0,0.0,0,0.0
Barbados,0.0,0,200,0.0,0.0,0,0.0
Brunei Darussalam,0.0,0,3400,0.0,0.0,0,0.0
Jersey,0.0,0,200,0.0,0.0,0,0.0
Lao People's Democratic Republic,0.0,0,200,0.0,0.0,0,0.0
Mongolia,0.0,0,1000,0.0,0.0,0,0.0
Niger,0.0,0,200,0.0,0.0,0,0.0
Suriname,0.0,0,200,0.0,0.0,0,0.0
Turks and Caicos Islands,0.0,0,400,0.0,0.0,0,0.0
Uganda,0.0,0,200,100.0,0.0,0,0.0
